File,Line,Symbol,Type,Issue,Details
D:\Development\neuron\core\error_handling.py,363,RecoveryStrategies.fallback_to_cpu,method,outdated_params,"Missing documentation for: error, context"
D:\Development\neuron\core\error_handling.py,363,RecoveryStrategies.fallback_to_cpu,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\error_handling.py,371,RecoveryStrategies.reduce_precision,method,outdated_params,"Missing documentation for: error, context"
D:\Development\neuron\core\error_handling.py,371,RecoveryStrategies.reduce_precision,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\error_handling.py,387,setup_error_handling,function,outdated_params,Missing documentation for: log_file
D:\Development\neuron\core\error_handling.py,417,exception_hook,function,missing,No docstring found
D:\Development\neuron\core\gpu_neurons.py,351,GPUNeuronPool.get_spike_statistics,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\gpu_neurons.py,398,GPUNeuronPool.to_cpu,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\learning.py,77,PlasticityConfig.from_yaml,method,outdated_params,Missing documentation for: filepath
D:\Development\neuron\core\learning.py,77,PlasticityConfig.from_yaml,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\learning.py,84,PlasticityConfig.from_json,method,outdated_params,Missing documentation for: filepath
D:\Development\neuron\core\learning.py,84,PlasticityConfig.from_json,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\learning.py,90,PlasticityConfig.to_yaml,method,outdated_params,Missing documentation for: filepath
D:\Development\neuron\core\learning.py,96,PlasticityConfig.to_json,method,outdated_params,Missing documentation for: filepath
D:\Development\neuron\core\learning.py,117,PlasticityRule.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,138,PlasticityRule.apply_weight_bounds,method,outdated_params,Missing documentation for: weight
D:\Development\neuron\core\learning.py,138,PlasticityRule.apply_weight_bounds,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\learning.py,142,PlasticityRule.update_weight,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,180,STDPRule.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,233,HebbianRule.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,275,BCMRule.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,319,RewardModulatedSTDP.set_reward,method,outdated_params,Missing documentation for: reward
D:\Development\neuron\core\learning.py,324,RewardModulatedSTDP.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,377,TripletSTDP.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,434,HomeostaticPlasticity.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,493,CustomPlasticityRule.set_update_function,method,outdated_params,Missing documentation for: func
D:\Development\neuron\core\learning.py,502,CustomPlasticityRule.compute_weight_change,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,565,PlasticityManager.add_custom_rule,method,outdated_params,Missing documentation for: rule
D:\Development\neuron\core\learning.py,580,PlasticityManager.activate_rule,method,outdated_params,Missing documentation for: name
D:\Development\neuron\core\learning.py,587,PlasticityManager.deactivate_rule,method,outdated_params,Missing documentation for: name
D:\Development\neuron\core\learning.py,592,PlasticityManager.update_weights,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\core\learning.py,639,PlasticityManager.set_reward,method,outdated_params,Missing documentation for: reward
D:\Development\neuron\core\learning.py,644,PlasticityManager.load_config,method,outdated_params,Missing documentation for: format
D:\Development\neuron\core\learning.py,662,PlasticityManager.save_config,method,outdated_params,Missing documentation for: format
D:\Development\neuron\core\learning.py,677,PlasticityManager.get_statistics,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\learning.py,700,example_custom_rule,function,outdated_params,"Missing documentation for: pre_activity, kwargs, post_activity, state, current_weight, config"
D:\Development\neuron\core\learning.py,700,example_custom_rule,function,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\core\logging_utils.py,58,NeuromorphicLogger.log_neuron_activity,method,outdated_params,Missing documentation for: adaptation_current
D:\Development\neuron\core\logging_utils.py,87,NeuromorphicLogger.log_synapse_activity,method,outdated_params,Missing documentation for: weight_change
D:\Development\neuron\core\logging_utils.py,116,NeuromorphicLogger.log_network_activity,method,outdated_params,Missing documentation for: average_firing_rate
D:\Development\neuron\core\logging_utils.py,140,NeuromorphicLogger.log_learning_event,method,outdated_params,Missing documentation for: new_value
D:\Development\neuron\core\logging_utils.py,163,NeuromorphicLogger.log_error,method,outdated_params,Missing documentation for: error_message
D:\Development\neuron\core\logging_utils.py,173,NeuromorphicLogger.log_warning,method,outdated_params,Missing documentation for: warning_message
D:\Development\neuron\core\logging_utils.py,183,NeuromorphicLogger.log_info,method,outdated_params,Missing documentation for: message
